1.8,32.0
INVALIDO,0.5,41.1
INVALIDO,1.9,29.0
INVALIDO,1.7,35.2
INVALIDO,3.1,16.4
INVALIDO,1.2,39.2
INVALIDO,3.6,10.4
INVALIDO,2.4,19.4
INVALIDO,1.5,41.6
INVALIDO,1.9,28.8
INVALIDO,2.0,20.4
INVALIDO,3.7,18.7
INVALIDO,2.6,22.4
INVALIDO,0.7,45.2
INVALIDO,3.2,22.2
INVALIDO,3.4,20.8
INVALIDO,5.8,4.0
INVALIDO,1.4,44.0
INVALIDO,0.2,51.2
INVALIDO,2.0,25.6
INVALIDO,1.0,48.8
INVALIDO,2.4,12.8
INVALIDO,2.1,29.9
INVALIDO,1.5,34.1
INVALIDO,1.6,38.4
INVALIDO,2.3,8.5
INVALIDO,4.0,16.6
INVALIDO,2.3,17.0
INVALIDO,0.6,40.4
INVALIDO,1.6,43.6
INVALIDO,2.1,22.4
INVALIDO,0.5,47.6
INVALIDO,2.8,0.0
INVALIDO,0.3,42.5
INVALIDO,1.7,32.7
INVALIDO,1.2,36.2
INVALIDO,4.2,15.2
INVALIDO,2.2,27.2
INVALIDO,1.6,33.4
INVALIDO,2.9,24.3
INVALIDO,0.0,53.6
INVALIDO,2.8,2.0
INVALIDO,3.5,20.1
INVALIDO,2.8,11.0
INVALIDO,2.1,17.9
INVALIDO,2.7,25.7
INVALIDO,2.0,30.6
INVALIDO,2.2,29.2
INVALIDO,1.7,34.1
INVALIDO,2.4,27.8
INVALIDO,1.6,38.0
INVALIDO,4.8,11.0
INVALIDO,1.9,27.3
INVALIDO,5.5,6.1
INVALIDO,3.0,17.6
INVALIDO,1.4,40.4
INVALIDO,2.1,25.7
INVALIDO,3.3,0.5
INVALIDO,2.1,28.4
INVALIDO,2.5,11.0
INVALIDO,2.5,17.3
INVALIDO,2.5,23.6
INVALIDO,2.6,8.0
INVALIDO,5.0,9.6
INVALIDO,3.9,17.3
INVALIDO,1.0,37.6
INVALIDO,2.7,13.1
INVALIDO,3.5,11.6
INVALIDO,0.1,43.9
INVALIDO,2.5,9.6
INVALIDO,2.9,8.9
INVALIDO,0.2,43.2
INVALIDO,2.0,29.6
INVALIDO,1.7,35.0
INVALIDO,2.0,26.0
INVALIDO,0.3,50.0
INVALIDO,2.3,21.5
INVALIDO,1.4,44.8
INVALIDO,2.0,22.6
INVALIDO,1.2,44.6
INVALIDO,1.1,36.9
INVALIDO,1.6,41.4
INVALIDO,1.3,38.0
INVALIDO,3.0,6.8
INVALIDO,1.2,50.0
INVALIDO,4.4,0.8
INVALIDO,3.0,23.6
INVALIDO,3.2,2.6
INVALIDO,0.8,44.0
INVALIDO,1.7,36.7
INVALIDO,0.8,53.0
INVALIDO,1.6,34.4
INVALIDO,2.4,14.0
INVALIDO,2.0,27.8
INVALIDO,2.7,5.0
INVALIDO,1.9,29.9
INVALIDO,2.3,16.0
INVALIDO,0.1,52.4
INVALIDO,1.1,40.4
INVALIDO,1.5,35.6
INVALIDO,1.3,42.5
INVALIDO,1.9,31.3
INVALIDO,0.7,39.7
INVALIDO,1.5,41.0
INVALIDO,2.2,8.8
INVALIDO,2.1,23.0
INVALIDO,2.2,20.0
INVALIDO,0.8,39.0
INVALIDO,1.5,38.3
INVALIDO,1.3,35.5
INVALIDO,2.5,27.1
INVALIDO,2.6,15.2
INVALIDO,1.0,41.6
INVALIDO,1.5,46.1
INVALIDO,2.4,3.8
INVALIDO,1.7,33.2
INVALIDO,4.0,5.6
INVALIDO,2.1,14.6
INVALIDO,4.5,13.1
